date,investment,cy_invested,reserve_amt,current,today_pnl_amount,today_pnl_percentage,curr_pnl_amount,curr_pnl_percentage,cy_pnl_amount,cy_pnl_percentage,total_profit,total_loss,overall_pnl_amount,overall_pnl_percentage,total_booked_amt,total_booked_percentage,cy_booked_amt,cy_booked_percentage,py_booked_amt,py_booked_percentage,estimate_st,est_st_pnl_amount,est_st_pnl_percentage,estimate_lt,est_lt_pnl_amount,est_lt_pnl_percentage,cagr
08-10-2025,12369190,15067190,57442,14041040.0,-65577.0,-0.46,-2117717.0,-14.06,-973704.0,-6.46,138195.0,-2255912.0,1724296.0,13.94,3842013,31.06,1144013,8.15,2698000,21.81,22909487.0,8868447.0,63.16,29090262.0,15049222.0,107.18,7.67
09-10-2025,12312407,15010407,57442,14118400.0,77360.0,0.55,-2040357.0,-13.59,-896344.0,-5.97,173936.0,-2214289.0,1801656.0,14.63,3842013,31.2,1144013,8.1,2698000,21.91,22909487.0,8791087.0,62.27,29090262.0,14971862.0,106.05,8.25
10-10-2025,12312407,15010407,57442,14182641.0,64241.0,0.46,-1976116.0,-13.16,-832103.0,-5.54,184245.0,-2160361.0,1865897.0,15.15,3842013,31.2,1144013,8.07,2698000,21.91,22909487.0,8726846.0,61.53,29090262.0,14907621.0,105.11,8.51
13-10-2025,12312407,15010407,109034,14025175.0,-100392.0,-0.71,-2123170.0,-14.14,-933157.0,-6.22,124337.0,-2247506.0,1764843.0,14.33,3888013,31.58,1190013,8.48,2698000,21.91,22868767.0,8843592.0,63.06,29117211.0,15092036.0,107.61,7.79
14-10-2025,12312407,15010407,109034,13829744.0,-195431.0,-1.39,-2318601.0,-15.45,-1128588.0,-7.52,112706.0,-2431308.0,1569412.0,12.75,3888013,31.58,1190013,8.6,2698000,21.91,22868767.0,9039023.0,65.36,29117211.0,15287467.0,110.54,6.92
15-10-2025,12312407,15010407,109034,13947644.0,118934.0,0.86,-2200701.0,-14.66,-1010688.0,-6.73,162314.0,-2363015.0,1687312.0,13.7,3888013,31.58,1190013,8.53,2698000,21.91,22867229.0,8919585.0,63.95,29115673.0,15168029.0,108.75,7.42
16-10-2025,12312407,15010407,109034,14042529.0,94885.0,0.68,-2105816.0,-14.03,-915803.0,-6.1,182914.0,-2288731.0,1782197.0,14.47,3888013,31.58,1190013,8.47,2698000,21.91,22832338.0,8789809.0,62.59,29080782.0,15038253.0,107.09,7.82
17-10-2025,12312407,15010407,109034,14024680.0,-15965.0,-0.11,-2123665.0,-14.15,-933652.0,-6.22,180919.0,-2304587.0,1764348.0,14.33,3888013,31.58,1190013,8.49,2698000,21.91,22829929.0,8805249.0,62.78,29078373.0,15053693.0,107.34,7.73
20-10-2025,12312407,15010407,229400,14103309.0,71134.0,0.51,-2063489.0,-13.75,-853476.0,-5.69,192934.0,-2256424.0,1844524.0,14.98,3908013,31.74,1210013,8.58,2698000,21.91,22851894.0,8748585.0,62.03,29100338.0,14997029.0,106.34,8.04
21-10-2025,12312407,15010407,54954,14147932.0,45839.0,0.33,-2018608.0,-13.45,-808595.0,-5.39,197763.0,-2216372.0,1889405.0,15.35,3908013,31.74,1210013,8.55,2698000,21.91,22886573.0,8738641.0,61.77,29135017.0,14987085.0,105.93,8.21
