Name,CMP,ATH%,PE,EPS,PB,MCap,ROCE%,ROE%,Sales_Grwth%,Profit_Grwth%,MedPE,ROCE_5Yr%,ROE_5Yr%,Debt2EqR,PAT_12M,CFO_2_EBITDA%,CapType,Symbol,Latest
https://www.screener.in/company/TVSMOTOR/consolidated/,4319.45,3.6,59.28,72.15,21.44,205211.5,17.37,33.62,30.52,45.93,56.07,0.57,27.81,3.43,3601.18,22.34,LC,TVSMOTOR,1
https://www.screener.in/company/INDIGO/consolidated/,5305.45,17.47,,-124.31,29.46,205144.05,5.24,-27.1,8.96,-147.77,25.81,,,11.15,-4807.9,156.25,LC,INDIGO,1
https://www.screener.in/company/IOC/consolidated/,140.35,40.22,5.87,23.83,0.9,198191.55,18.66,20.48,13.47,110.76,5.78,3.49,15.98,0.6,35728.11,90.86,LC,IOC,1
https://www.screener.in/company/ADANIENSOL/consolidated/,1593,166.07,66.73,24.3,7.53,194816.66,9.65,9.44,20.91,21.81,90.65,0.14,10.93,1.93,3090.37,126.83,LC,ADANIENSOL,1
https://www.screener.in/company/TORNTPHARM/consolidated/,4884,7.49,83.27,63.7,19.72,185771.67,15.19,27.43,32.85,10.49,55.94,0.33,23.68,1.79,2156,68.44,LC,TORNTPHARM,1
https://www.screener.in/company/HYUNDAI/consolidated/,2244.75,28.74,36.8,60.93,9.1,182395.16,38.4,29.89,3.55,-10.31,30.63,0.81,30.34,0.05,4950.91,76.71,LC,HYUNDAI,1
https://www.screener.in/company/SBILIFE/,1816.8,17.4,70.06,25.93,9.06,182272.47,14.95,13.7,-1.3,4.53,75.76,0.2,14.04,0,2600.9,1227.57,LC,SBILIFE,1
https://www.screener.in/company/WIPRO/consolidated/,182,103.26,13.62,12.79,2.17,180259.99,17.84,15.46,6.4,-1.81,20.16,1.14,16.35,0.23,13285.3,68.9,LC,WIPRO,1
https://www.screener.in/company/MOTHERSON/consolidated/,170.05,1.15,39.28,4.15,4.38,179478.29,13.43,11.24,14.02,35.3,39.2,0.29,10.12,0.47,4555.12,86.78,LC,MOTHERSON,1
https://www.screener.in/company/VAML/consolidated/,456.85,17.76,11.28,1181900,,178646.1,,,,,0,,,,14153,,LC,VAML,1
https://www.screener.in/company/TMCV/consolidated/,474.65,7.24,23.5,,13.73,174799.35,35.9,34.02,15.43,52.95,37.99,1.45,,0.44,4187,168.14,LC,TMCV,1
https://www.screener.in/company/SOLARINDS/consolidated/,19304.95,0.71,100.13,185.38,27.84,174690.59,38.08,32.64,30.47,38.97,75.88,0.33,31.8,0.24,1736.64,21.83,LC,SOLARINDS,1
https://www.screener.in/company/PIDILITIND/consolidated/,1688.65,1.12,64.92,26.03,15.87,171869.15,31.02,23.92,14.09,20.39,87.68,0.37,22.07,0.04,2676.1,74.68,LC,PIDILITIND,1
https://www.screener.in/company/JIOFIN/consolidated/,257.4,53.34,82.23,3.2,1.24,169964.81,1.86,1.19,119.23,28.96,115.96,0.01,,0.16,2066.49,-580.92,LC,JIOFIN,1
https://www.screener.in/company/DLF/consolidated/,664,84.49,38.18,17.96,3.6,164360.73,6.32,9.5,-27.71,1.63,52.17,0.25,7.74,0.01,4445.91,207.11,LC,DLF,1
https://www.screener.in/company/ABB/,7740,18.86,106.39,141,17.54,164017.05,29.93,22.39,10.22,-13.03,95.78,0.21,21.6,0.02,2987.84,50.87,LC,ABB,1
https://www.screener.in/company/CHOLAFIN/consolidated/,1905,2.49,28.22,67.8,5.32,162431.36,9.71,19.35,19.64,29.14,29.96,0.69,19.85,6.93,5751,-138.68,LC,CHOLAFIN,1
https://www.screener.in/company/TECHM/consolidated/,1640.75,13,30.21,52.41,5.4,160807.41,23.12,17.53,10.95,17.18,30.4,0.58,15.72,0.07,5163,68.15,LC,TECHM,1
https://www.screener.in/company/POWERINDIA/,35550,9.14,133.01,258.09,30.68,158454.75,29.36,21.91,40.17,135.8,205.67,0.16,16.87,0.02,1150.39,82.53,LC,POWERINDIA,1
https://www.screener.in/company/TRENT/consolidated/,2970.65,87.3,86.62,33.93,22.71,158404.66,28.34,27.74,16.92,15.45,148.94,0.32,23.75,0.37,1814.7,69.48,LC,TRENT,1
https://www.screener.in/company/TATACAP/consolidated/,363.65,7.3,28.39,12.86,3.36,154364.64,8.58,12.36,11.09,29.63,29.88,0.44,14.41,5.15,5478.16,-164.17,LC,TATACAP,1
https://www.screener.in/company/ICICIAMC/,3076.2,17.39,43.63,100.95,36.45,152043.84,115.1,85.8,20.53,24.43,2.13,1.97,80.08,0,3485.73,72.44,LC,ICICIAMC,1
https://www.screener.in/company/IDEA/consolidated/,13.75,796.29,,3.45,,148971.69,-1.72,,3.29,17.27,,,,,37406,100.24,LC,IDEA,1
https://www.screener.in/company/CUMMINSIND/consolidated/,5350.5,14.81,60.83,85.4,17.46,148315.87,39.5,30.24,15.3,14.45,41.71,0.5,25.77,0,2367.15,51.33,LC,CUMMINSIND,1
https://www.screener.in/company/VBL/consolidated/,437.1,56.22,43.7,10.01,7.55,147847.52,19.71,16.21,14.46,18.88,60.27,0.37,22.47,0.13,3409.28,65.74,LC,VBL,1
https://www.screener.in/company/BHEL/consolidated/,414,7.91,59.25,6.99,5.5,144157.44,9.14,6.23,27,739.36,131.7,0.11,2.73,0.31,2432.47,170.32,LC,BHEL,1
https://www.screener.in/company/BSE/consolidated/,3512,26.62,50.51,69.54,21.47,143043.42,59.99,46.05,60.72,78.51,59.7,0.91,28.2,0,2821.74,86.95,LC,BSE,1
https://www.screener.in/company/UNIONBANK/consolidated/,186.95,128.38,6.89,27.04,1.04,142710.26,6.3,15.7,-1.33,9.73,6.32,2.28,14.13,9.74,20643.77,-0.38,LC,UNIONBANK,1
https://www.screener.in/company/SIEMENS/consolidated/,3993.75,16.73,94.63,91.98,10.26,142225.58,21.44,19.22,13.21,-11.55,49.94,0.2,15.68,0.02,3276.7,-14.83,LC,SIEMENS,1
https://www.screener.in/company/POLYCAB/consolidated/,9335.05,8.5,49.08,190.23,11.71,140657.39,33.21,23.05,32.06,29.24,45.63,0.47,21.45,0.02,2905.4,92.56,LC,POLYCAB,1
https://www.screener.in/company/LTM/consolidated/,4722.45,60.83,24.99,176.4,5.8,140077.92,29.6,23.13,13.87,18.88,33.47,0.93,25.7,0.1,5196.7,55.48,LC,LTM,1
https://www.screener.in/company/CGPOWER/consolidated/,882,11.24,109.15,7.94,17.41,138935.45,26.71,20.48,21.42,26.93,80.95,0.19,37.93,0.01,1240.09,37.95,LC,CGPOWER,1
https://www.screener.in/company/BOSCHLTD/consolidated/,46800,0.97,58.42,801.24,9.33,138041.76,21.54,14.57,13.63,6.49,41.04,0.25,14.34,0.01,2363.2,62.07,LC,BOSCHLTD,1
https://www.screener.in/company/BRITANNIA/consolidated/,5658.3,14.4,52.32,108.11,26.69,136290.49,56,53.52,6.63,18.7,56.96,1.02,55.72,0.27,2610.26,69.88,LC,BRITANNIA,1
https://www.screener.in/company/PNB/consolidated/,118.4,136.47,6.12,19.22,0.87,136076.43,6.13,12.99,3.41,32.86,10.81,2.12,9.4,11.79,22134.37,21.76,LC,PNB,1
https://www.screener.in/company/BPCL/consolidated/,312.15,25.53,8.67,39.49,1.35,135426.48,25.64,28.75,12.33,-11.73,7.15,3.32,23.73,0.54,17131.73,110.5,LC,BPCL,1
https://www.screener.in/company/BANKBARODA/consolidated/,248.7,30.9,5.84,35.12,0.76,128611.78,5.63,12.7,4.91,13.52,7.08,2.17,13.96,10.89,18392.34,30.73,LC,BANKBARODA,1
https://www.screener.in/company/TMPV/consolidated/,347.45,105.01,1.49,223.74,1.15,127962.11,2.73,75.66,-8.33,208.61,9.28,50.78,36.72,0.71,82645,51.89,LC,TMPV,1
https://www.screener.in/company/ENRIN/,3590.75,10.51,83.76,41.78,26.59,127873.98,67.75,50.47,,368610,89.04,0.6,,0.04,1488,224.17,LC,ENRIN,1
https://www.screener.in/company/BAJAJHLDNG/consolidated/,11479.15,29.57,14.4,795.8,1.74,127751.46,11,11.9,30.15,27.18,15.45,0.83,11.84,0,8993.16,55.8,LC,BAJAJHLDNG,1
https://www.screener.in/company/APOLLOHOSP/consolidated/,8650,7.82,59.11,145.32,13.13,124373.71,17.45,21.15,17.2,33.69,80.77,0.36,16.95,0.9,2172,72.69,LC,APOLLOHOSP,1
https://www.screener.in/company/GROWW/consolidated/,198.2,14.63,50.97,3.94,12.91,124342.7,37.32,28.81,37.74,30.83,33.37,0.57,25.1,0.03,2439.67,-0.71,LC,GROWW,1
https://www.screener.in/company/PFC/consolidated/,374.4,55.01,4.73,78.93,0.87,123555.81,9.71,20.69,4.63,7.17,5.14,4.37,20.91,7,33641.82,-4.01,LC,PFC,1
https://www.screener.in/company/LODHA/consolidated/,1226.6,34.51,29.71,41.3,5.25,122553.15,16.41,15.48,26.04,39.2,46.64,0.52,12.63,0.42,4128.7,18.02,LC,LODHA,1
https://www.screener.in/company/TATAPOWER/consolidated/,379.45,30.41,30.96,12.09,3.08,121247.17,10.53,10.21,-4.19,-5,31.48,0.33,11.08,1.93,5256.1,35.51,LC,TATAPOWER,1
https://www.screener.in/company/INDIANB/consolidated/,896.5,11.65,9.46,94.91,1.44,120755.31,6.32,15.45,9.53,11.39,7.58,1.63,14.37,10.64,12787.12,32.65,LC,INDIANB,1
https://www.screener.in/company/CANBK/consolidated/,131.85,24.55,6.03,21.89,0.97,119596.56,6.52,16.08,3.11,7.47,5.99,2.67,15.56,14.28,19827.97,6.92,LC,CANBK,1
https://www.screener.in/company/CIPLA/consolidated/,1460.9,16.51,33.03,41.73,3.41,118018.12,15.49,11.6,1.85,-33.63,28.09,0.35,14.46,0.02,3355.68,61.68,LC,CIPLA,1
https://www.screener.in/company/HEROMOTOCO/consolidated/,5860.7,9.03,21.13,272.33,5.45,117296.71,35.22,28.1,25.64,9.93,20.52,1.33,21.22,0.04,5487.98,99.31,LC,HEROMOTOCO,1
